epoch,acc,loss,val_acc,val_loss
0,0.735470942003,0.803576124694,1.0,0.154659880102
1,0.966933867735,0.229029605109,1.0,0.019131520167
2,0.99498997996,0.0965719561285,1.0,0.00482124208007
3,0.996993987976,0.0546092239837,1.0,0.00180420364253
4,0.998496993988,0.0361713225503,1.0,0.000832070873585
5,0.998997995992,0.0250544785737,1.0,0.00046041936439
6,1.0,0.0171900274072,1.0,0.000259777217871
7,0.998997995992,0.0140627441995,1.0,0.000155841856613
8,1.0,0.0115901479761,1.0,0.000102054290473
9,0.999498997996,0.00948852231215,1.0,6.83752175246e-05
10,1.0,0.00758815676959,1.0,5.01828285633e-05
11,0.999498997996,0.00708612326891,1.0,3.40811841306e-05
12,0.999498997996,0.00569062745889,1.0,2.5829081751e-05
13,1.0,0.005125506195,1.0,2.08685507096e-05
14,1.0,0.00402228614219,1.0,1.51575577001e-05
15,1.0,0.00403674831404,1.0,1.26206661662e-05
16,1.0,0.00297316246995,1.0,9.90357661067e-06
17,1.0,0.00284855335835,1.0,7.98605104137e-06
18,1.0,0.00289729233917,1.0,6.63880015054e-06
19,1.0,0.0026594863666,1.0,5.38009542652e-06
20,1.0,0.00243607917633,1.0,4.41567665348e-06
21,1.0,0.00207679245489,1.0,3.77373482479e-06
22,1.0,0.00172067075718,1.0,3.30910968842e-06
23,1.0,0.00213809821471,1.0,2.43962304921e-06
24,1.0,0.00153653309227,1.0,2.11850275264e-06
25,1.0,0.00155325769826,1.0,1.90601135728e-06
26,1.0,0.00110892834467,1.0,1.52334775521e-06
27,1.0,0.0015067290839,1.0,1.34706640438e-06
28,1.0,0.00134705235468,1.0,1.3403608682e-06
29,1.0,0.00103857157143,1.0,1.13934384899e-06
30,1.0,0.000950634726876,1.0,9.14037930215e-07
31,1.0,0.000757896526796,1.0,7.70688604916e-07
32,1.0,0.000873342795353,1.0,6.74426953537e-07
33,1.0,0.000966933227652,1.0,6.08265734172e-07
34,1.0,0.000758012558694,1.0,5.71459838739e-07
35,1.0,0.000712074446065,1.0,5.26011306192e-07
36,1.0,0.00092768202811,1.0,4.69088756745e-07
37,1.0,0.000731146317685,1.0,3.9964932057e-07
38,1.0,0.000594331116396,1.0,3.58820074098e-07
39,1.0,0.000597504416068,1.0,3.08752159981e-07
40,1.0,0.000456873984984,1.0,2.93850996513e-07
41,1.0,0.000608972388724,1.0,2.71201208761e-07
42,1.0,0.00037172798704,1.0,2.38567641873e-07
43,1.0,0.000662425930126,1.0,2.27093743206e-07
44,1.0,0.000480312866183,1.0,1.86860600024e-07
45,1.0,0.00041867545807,1.0,1.80751122798e-07
46,1.0,0.000384549424379,1.0,1.80304087962e-07
47,1.0,0.000398957932262,1.0,1.65849958194e-07
48,1.0,0.000450132276237,1.0,1.58250361437e-07
49,1.0,0.000274011378017,1.0,1.49309660173e-07
50,1.0,0.000283814606132,1.0,1.43051171335e-07
51,1.0,0.000409469474924,1.0,1.5899541836e-07
52,1.0,0.000434167568809,1.0,1.41710064554e-07
53,1.0,0.000311202830597,1.0,1.31130237833e-07
54,1.0,0.000256397494338,1.0,1.25020761175e-07
55,1.0,0.000201724549756,1.0,1.26063843595e-07
56,1.0,0.000206694461325,1.0,1.22785586996e-07
57,1.0,0.000424091265591,1.0,1.42157098253e-07
58,1.0,0.000222157268239,1.0,1.39623901987e-07
59,1.0,0.00024159631145,1.0,1.26659889474e-07
60,1.0,0.000437620470992,1.0,1.30832216882e-07
61,1.0,0.000186051017942,1.0,1.2189151505e-07
62,1.0,0.000201031415598,1.0,1.2189151505e-07
63,1.0,0.000152706274976,1.0,1.20699422155e-07
64,1.0,0.000158906744424,1.0,1.19507326986e-07
65,1.0,0.000217576265688,1.0,1.19507326986e-07
66,1.0,0.00013812944159,1.0,1.19358315374e-07
67,1.0,0.000156624242368,1.0,1.19805351346e-07
